message,class
ไวรัส โคโรนา covid covid-19 2019 corona virus เป็น ไวรัส ที่ จัดอยู่ใน วงศ์ใหญ่ ที่สุด ในบรรดา ไวรัส ที่พบ ใน ทั้ง สัตว์ และ คน,yes
"???????????????????????? ""????????"" ??? ""GU"" ?????????????????? ?????????????????? ??????? 1.6985 ??????????",yes
????????????????? (BOJ) ??????????????????? ??????????????????????????????????????????????????????????????????????? 3 ?????,yes
??????????????????????????????????????? ?????????????????????? 3 ??????? ?????? 10 ???????????,yes
,yes
,yes
,yes
,yes
,yes
,yes
